time,precipitation_sum (mm),temperature_2m_max (°C)
7/14/2022,0,25
7/15/2022,0,24.9
7/16/2022,0.6,21.8
7/17/2022,0.4,19.5
7/18/2022,0,21.5
7/19/2022,0,25.9
7/20/2022,0,28.3
7/21/2022,0,28.2
7/22/2022,0,24.1
7/23/2022,0.2,21.9
7/24/2022,0,27.4
7/25/2022,0,30.6
7/26/2022,0,34.6
7/27/2022,0,32.8
7/28/2022,0,33.2
7/29/2022,0,33.1
7/30/2022,0,35.3
7/31/2022,0,33.8
8/1/2022,0.3,29
8/2/2022,0,25
8/3/2022,0,25.2
8/4/2022,1,18.3
8/5/2022,0,23.9
8/6/2022,0,28.1
8/7/2022,0,31.3
8/8/2022,0,32
8/9/2022,0,31.1
8/10/2022,2.9,21.4
8/11/2022,0,26
8/12/2022,0,25.6
8/13/2022,0,23.5
8/14/2022,0,25.7
8/15/2022,0,27.8
8/16/2022,0,27.3
8/17/2022,0,31.3
8/18/2022,0,35.4
8/19/2022,0.6,27.3
8/20/2022,0,24.5
8/21/2022,0,27.8
8/22/2022,0,27.7
8/23/2022,0,27
8/24/2022,0,29.8
8/25/2022,0,30.9
8/26/2022,1.2,21.9
8/27/2022,5.3,21
8/28/2022,0,25.2
8/29/2022,0,27.8
8/30/2022,0,31.6
8/31/2022,0,30.3
9/1/2022,0,27.4
9/2/2022,0,27.9
9/3/2022,0.2,21.5
9/4/2022,1.5,25.4
9/5/2022,0.4,22.3
9/6/2022,0,25.4
9/7/2022,0,23.9
9/8/2022,0,21.5
9/9/2022,0,25.4
9/10/2022,0,33.1
9/11/2022,1.7,26.4
9/12/2022,0.5,23.5
9/13/2022,0.4,21.4
9/14/2022,0.1,21.8
9/15/2022,0.8,19.6
9/16/2022,2.6,19.5
9/17/2022,0,18.7
9/18/2022,3.2,22.8
9/19/2022,0,23.9
9/20/2022,0,24.8
9/21/2022,0,25.6
9/22/2022,0.4,21.2
9/23/2022,0,19.7
9/24/2022,0,22
9/25/2022,0,26.2
9/26/2022,0,27.7
9/27/2022,0,26.3
9/28/2022,0.9,20.9
9/29/2022,1.5,20.2
9/30/2022,0,20.9
10/1/2022,0,25.3
10/2/2022,0,26.6
10/3/2022,0,25.8
10/4/2022,0,21.9
10/5/2022,0,20.9
10/6/2022,0,23.2
10/7/2022,0,24.7
10/8/2022,0,24.2
10/9/2022,0,23.2
10/10/2022,0,20.8
10/11/2022,0,19.1
10/12/2022,0,20.8
10/13/2022,0,24.5
10/14/2022,0,22.7
10/15/2022,0,28.7
10/16/2022,0,30.1
10/17/2022,0,21
